name,simclr_epochs,classifier_epochs,max_clusters,seed,round1_acc,round2_acc,round3_acc,round4_acc,round5_acc,final_acc
baseline_seed10,50,50,50,10,17.48,13.08,10.12,22.35,14.99,14.99
baseline_seed42,50,50,50,42,14.59,11.02,10.29,20.08,21.57,21.57
baseline_seed123,50,50,50,123,20.39,10.88,18.93,13.59,22.2,22.2
optimized_seed10,50,50,50,10,21.14,15.88,22.99,12.0,20.66,20.66
optimized_seed42,50,50,50,42,20.35,10.0,10.91,11.26,19.03,19.03
optimized_seed123,50,50,50,123,21.98,14.17,15.14,11.16,25.0,25.0
optimized_b20,50,50,50,,14.89,20.15,26.68,10.2,25.42,25.42
optimized_b50,50,50,50,,25.54,24.55,25.79,23.11,17.4,17.4
original_ver_seed42,500,200,500,42,14.57,18.67,22.24,24.74,25.02,25.02
optimized_ver2_seed42,500,300,500,42,17.26,20.02,27.28,27.8,28.76,28.76
