name,simclr_epochs,classifier_epochs,max_clusters,budget_per_round,num_rounds,seed,num_labeled,round_1_accuracy,round_2_accuracy,round_3_accuracy,round_4_accuracy,round_5_accuracy,final_accuracy,mean_accuracy
baseline,200,50,50,10,5,,50,10.36,19.49,20.0,15.62,21.4,21.4,17.37
baseline_seed10,50,50,50,10,5,10,50,17.48,13.08,10.12,22.35,14.99,14.99,15.6
baseline_seed123,50,50,50,10,5,123,50,20.39,10.88,18.93,13.59,22.2,22.2,17.2
baseline_seed42,50,50,50,10,5,42,50,14.59,11.02,10.29,20.08,21.57,21.57,15.51
optimized,200,50,50,10,5,,50,21.21,10.0,10.0,12.15,21.5,21.5,14.97
optimized_b20,50,50,50,20,5,,53,14.89,20.15,26.68,10.2,25.42,25.42,19.47
optimized_b50,50,50,50,50,5,,50,25.54,24.55,25.79,23.11,17.4,17.4,23.28
optimized_seed10,50,50,50,10,5,10,50,21.14,15.88,22.99,12.0,20.66,20.66,18.53
optimized_seed123,50,50,50,10,5,123,50,21.98,14.17,15.14,11.16,25.0,25.0,17.49
optimized_seed42,50,50,50,10,5,42,50,20.35,10.0,10.91,11.26,19.03,19.03,14.31
